,Date,User,Tweet,clean_tweet,stem_rmSW,lx_sentiment,tf_sentiment2
10,2023-06-08 01:57:03+00:00,AndreAj55804037,@tifsembiring 2x pemilu kemaren jagoanmu juga menang... di twitter doank. Faktanya keok hahaha, 2x pemilu kemaren jagoanmu juga menang di twitter doank faktanya keok hahaha,2x milu kemaren jago menang twitter doank fakta keok hahaha,negatif,negative
11,2023-06-08 01:56:53+00:00,SalahutuPolsek,"Ciptakan Pemilu 2024 yang Aman dan Damai

#Pemilu2024Damai
#PolrestaAmbon
#PolsekSalahutu
#HumasRestaAmbon
#hutbhayangkara77 
#polisibaik 
#bittersweetpolri https://t.co/mWhVDpthU4","ciptakan pemilu 2024 yang aman dan damai

",cipta milu 2024 aman damai,neutral,neutral
12,2023-06-08 01:56:31+00:00,frontmudarev,"""Namun pemilu kali ini tidak berbeda dengan pemilu-pemilu sebelumnya, yakni sebagai ajang untuk tukar menukar kekuasaan antar elite politik.""

#sosialisme #revolusioner","namun pemilu kali ini tidak berbeda dengan pemilupemilu sebelumnya yakni sebagai ajang untuk tukar menukar kekuasaan antar elite politik

",milu kali beda pemilupemilu ajang tukar tukar kuasa elite politik,negatif,neutral
13,2023-06-08 01:56:24+00:00,posaktualcom,AHY: Pemilu 2024 Tidak Fair Kalau Demokrat Berhasil Dirampas  https://t.co/RdsEj1RdJC,ahy pemilu 2024 tidak fair kalau demokrat berhasil dirampas  ,ahy milu 2024 fair demokrat hasil rampas,positif,negative
14,2023-06-08 01:56:05+00:00,zenstrive,@CNNIndonesia @jokowi ini berarti jokowi sudah intervensi pemilu,  ini berarti jokowi sudah intervensi pemilu,jokowi intervensi milu,neutral,neutral
15,2023-06-08 01:54:24+00:00,KPUBanyumas,"#sedulurkpubanyumas #temanpemilih Apa saja SYARAT menjadi PEMILIH dalam Pemilu 2024 ? Cekidot...

#kpubanyumas
#kpumelayani
#pemilu2024
#sosialisasi
#pemilihpemula
#ppkwangon
#smksriwijaya2wangon https://t.co/Z2HoL4NRjc","apa saja syarat menjadi pemilih dalam pemilu 2024  cekidot

",syarat pilih milu 2024 cekidot,negatif,neutral
16,2023-06-08 01:53:14+00:00,paseban99,@Miduk17 @wulandari_erian Bentar lagi jelang pemilu ada pembangunan pencitraan NANGIS BERSAMA,  bentar lagi jelang pemilu ada pembangunan pencitraan nangis bersama,bentar jelang milu bangun citra nang,neutral,negative
17,2023-06-08 01:51:06+00:00,MalangPost_News,"Menggaet Dukungan Milenial dan Generasi Z untuk Pemilu 2024
#GanjarPranowo #Pemilu2024 #MalangPost
https://t.co/ORLl7jYCe7","menggaet dukungan milenial dan generasi z untuk pemilu 2024
",gaet dukung milenial generasi z milu 2024,positif,neutral
18,2023-06-08 01:50:47+00:00,candrarochyat,@unmagnetism Merevisi undang undang pemilu~, merevisi undang undang pemilu,revisi undang undang milu,positif,neutral
19,2023-06-08 01:50:02+00:00,racin6_,"Ketua Badan Pemenangan Pemilu Partai Demokrat Andi Arief, menduga lambatnya deklarasi cawapres menjadi penyebab elektabilitas capres Koalisi Perubahan untuk Persatuan (KPP) Anies Baswedan mengalami tren penurunan dalam sejumlah lembaga survei akhir-akhir ini. 

#TrenAniesMenurun https://t.co/z9htHvP8oV","ketua badan pemenangan pemilu partai demokrat andi arief menduga lambatnya deklarasi cawapres menjadi penyebab elektabilitas capres koalisi perubahan untuk persatuan kpp anies baswedan mengalami tren penurunan dalam sejumlah lembaga survei akhirakhir ini 

",ketua badan menang milu partai demokrat andi arief duga lambat deklarasi cawapres sebab elektabilitas capres koalisi ubah satu kpp anies baswedan alami tren turun lembaga survei akhirakhir,negatif,neutral
20,2023-06-08 01:49:25+00:00,darmonomomon89,Babinsa Ds. Kauman Lor Serma Moh Sumar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Kauman Lor Kec. Pabelan Kab. Semarang. https://t.co/1htMVmgjC6,babinsa ds kauman lor serma moh sumar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds kauman lor kec pabelan kab semarang ,babinsa ds kaum lor serma moh sumar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds kaum lor kec pabelan kab semarang,negatif,neutral
21,2023-06-08 01:48:34+00:00,BagSdmResNduga,Mari Amankan Pemilu 2024 Agar Lebih Tertib Dan Aman https://t.co/PnLUm0f7CX,mari amankan pemilu 2024 agar lebih tertib dan aman ,mari aman milu 2024 tertib aman,negatif,neutral
22,2023-06-08 01:48:30+00:00,koemaring,@sutanmangara @sutanmangara belom juga pemilu ngab 🤣🤣🤣🤣 kasihN anda sampai sbgtunya memuja org 😆,  belom juga pemilu ngab  kasihn anda sampai sbgtunya memuja org ,bom milu ngab kasihn sbgtunya puja org,positif,negative
23,2023-06-08 01:48:29+00:00,HarriDealova,@Yedi_ExTKI @saidiman Coba sebutin negara demokrasi dg sistim pemilu yg netral?,  coba sebutin negara demokrasi dg sistim pemilu yg netral,coba sebutin negara demokrasi dg sistim milu yg netral,negatif,neutral
24,2023-06-08 01:48:29+00:00,Wisangg21762934,@Subur0204 @yoz_lpg Netral silit itu hbis pemilu anggota KPU masuk partai bemokrat semua drun...,  netral silit itu hbis pemilu anggota kpu masuk partai bemokrat semua drun,netral silit hbis milu anggota kpu masuk partai bemokrat drun,negatif,negative
25,2023-06-08 01:48:09+00:00,KikiKum8,"🔥 COMING SOON🔥

KAPOLDA JATIM ESPORTS COMPETITION 2023

Dengan tema _""Ciptakan Pemilu Damai dan Jawa Timur Bebas Narkoba""._

Segera persiapkan diri dan tim kalian untuk menjadi sang juara di KAPOLDA JATIM ESPORTS COMPETITION 2023

Ikuti informasi terkini di IG https://t.co/uj1RLDoqAp"," coming soon

kapolda jatim esports competition 2023

dengan tema ciptakan pemilu damai dan jawa timur bebas narkoba

segera persiapkan diri dan tim kalian untuk menjadi sang juara di kapolda jatim esports competition 2023

ikuti informasi terkini di ig ",coming soon kapolda jatim esports competition 2023 tema cipta milu damai jawa timur bebas narkoba siap tim sang juara kapolda jatim esports competition 2023 ikut informasi kini ig,negatif,neutral
26,2023-06-08 01:47:50+00:00,SulaimanS3nang,Babinsa Ds. Kauman Lor Serma Moh Sumar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Kauman Lor Kec. Pabelan Kab. Semarang. https://t.co/6aUKJ94Hao,babinsa ds kauman lor serma moh sumar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds kauman lor kec pabelan kab semarang ,babinsa ds kaum lor serma moh sumar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds kaum lor kec pabelan kab semarang,negatif,neutral
27,2023-06-08 01:47:36+00:00,KPU_Karangasem,"#TemanPemilih, Komisi Pemilihan Umum Kabupaten Karangasem melaksanakan Koordinasi Persiapan Rapat Koordinasi Rekapitulasi dan Penetapan Daftar Pemilih Tetap (DPT) Pemilu Tahun 2024 di Ruang Divisi Perencanaan, Data dan Informasi KPU Karangasem, Kamis (8/6). https://t.co/Y9OfYzl22j", komisi pemilihan umum kabupaten karangasem melaksanakan koordinasi persiapan rapat koordinasi rekapitulasi dan penetapan daftar pemilih tetap dpt pemilu tahun 2024 di ruang divisi perencanaan data dan informasi kpu karangasem kamis 86 ,komisi pilih kabupaten karangasem laksana koordinasi siap rapat koordinasi rekapitulasi tetap daftar pilih dpt milu 2024 ruang divisi rencana data informasi kpu karangasem kamis 86,negatif,neutral
28,2023-06-08 01:47:32+00:00,Romdani82204111,Babinsa Ds. Kauman Lor Serma Moh Sumar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Kauman Lor Kec. Pabelan Kab. Semarang. https://t.co/WtOiWZeyDp,babinsa ds kauman lor serma moh sumar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds kauman lor kec pabelan kab semarang ,babinsa ds kaum lor serma moh sumar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds kaum lor kec pabelan kab semarang,negatif,neutral
29,2023-06-08 01:47:12+00:00,Bahrun676207,@BennyHarmanID Kita harus mendoakan pemilu berjalan baik dan lancar...klau ada koalisi menyudutkan penguasa atau pemerintahan itu namanya cari perhatian publik biar elaktabilitas capresnya cepat naik sekarang kan makin turun, kita harus mendoakan pemilu berjalan baik dan lancarklau ada koalisi menyudutkan penguasa atau pemerintahan itu namanya cari perhatian publik biar elaktabilitas capresnya cepat naik sekarang kan makin turun,doa milu jalan lancarklau koalisi sudut kuasa perintah nama cari perhati publik biar elaktabilitas capresnya cepat turun,negatif,negative
30,2023-06-08 01:46:57+00:00,yantisusan991,Babinsa Ds. Kauman Lor Serma Moh Sumar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Kauman Lor Kec. Pabelan Kab. Semarang. https://t.co/p4byXL4j1y,babinsa ds kauman lor serma moh sumar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds kauman lor kec pabelan kab semarang ,babinsa ds kaum lor serma moh sumar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds kaum lor kec pabelan kab semarang,negatif,neutral
31,2023-06-08 01:46:45+00:00,arkaatmaja7,@WagimanDeep212_ Langsung ditunjuk aja Ndak usah pemilu apalagi dan didukung Presiden aktif. Daripada pemilu hasilnya juga bakal sama. Hemat APBN, langsung ditunjuk aja ndak usah pemilu apalagi dan didukung presiden aktif daripada pemilu hasilnya juga bakal sama hemat apbn,langsung aja ndak milu dukung presiden aktif milu hasil hemat apbn,positif,negative
32,2023-06-08 01:46:10+00:00,chaterine_8,"Menjadi sosok yg hadir pertama kali di pikiran PAN, Erick Thohir punya ikatan kuat dgn PAN, terlebih Erick &amp; Ketum PAN, Zulkifli Hasan sama² putra asli Lampung 

Dari awal, PAN mrpkan Partai yg konsisten mendukung @erickthohir sbg cawapres di pemilu 2024

#GanjarErickDuetTerbaik https://t.co/ZnmsUUoySk","menjadi sosok yg hadir pertama kali di pikiran pan erick thohir punya ikatan kuat dgn pan terlebih erick amp ketum pan zulkifli hasan sama putra asli lampung 

dari awal pan mrpkan partai yg konsisten mendukung  sbg cawapres di pemilu 2024

",sosok yg hadir kali pikir pan erick thohir ikat kuat dgn pan erick amp tum pan zulkifli hasan putra asli lampung pan mrpkan partai yg konsisten dukung sbg cawapres milu 2024,negatif,positive
33,2023-06-08 01:45:12+00:00,EdiRosa39449249,@FPKSDPRRI Sebentar lagi memainkan game 2024 lewat jalur biasa PKS pake dlm setiap hajatan pemilu 😆😅, sebentar lagi memainkan game 2024 lewat jalur biasa pks pake dlm setiap hajatan pemilu ,sebentar main game 2024 jalur pks pake dlm hajat milu,negatif,neutral
34,2023-06-08 01:45:02+00:00,alekda,"Ketidakmauan / ketidak msmpuan menerima kenyataan adalah pola ciri umum kadrun. Bila besok kalah akan ada playing victim serempak pemilu yg curang lalu ke MK. Pola standar yg basi sejak lama.

https://t.co/1gZFWUiGuz","ketidakmauan  ketidak msmpuan menerima kenyataan adalah pola ciri umum kadrun bila besok kalah akan ada playing victim serempak pemilu yg curang lalu ke mk pola standar yg basi sejak lama

",ketidakmauan tidak msmpuan terima nyata pola ciri kadrun besok kalah playing victim serempak milu yg curang mk pola standar yg basi,negatif,negative
35,2023-06-08 01:44:12+00:00,mutajir_mohamat,"@yaniarsim @dennyindrayana Tugas presiden adalah menyelenggarakan pemilu yang adil, netral, transparan, bebas, bertanggung jawab-gugat, profesional dan terintegrasi.
Bukan malah ikut cawe2 kampanye figur tertentu...presiden goblok, sangat pantas dilengserkan.. https://t.co/2b2FNi29Zl","  tugas presiden adalah menyelenggarakan pemilu yang adil netral transparan bebas bertanggung jawabgugat profesional dan terintegrasi
bukan malah ikut cawe2 kampanye figur tertentupresiden goblok sangat pantas dilengserkan ",tugas presiden selenggara milu adil netral transparan bebas tanggung jawabgugat profesional integrasi cawe 2 kampanye figur tertentupresiden goblok lengser,positif,negative
36,2023-06-08 01:44:10+00:00,tvristasiunriau,"Sistem pelaksanaan Pemilu 2024 akankah dilakukan secara proporsional terbuka atau tertutup yang sudah diberlakukan sejak era reformasi? Kita tunggu keputusan Mahkamah Konstitusi. Ikuti diskusi ini dalam segmen DRC hari ini!

#Pemilu2024 #TVRI #TVRIRiau #TVRIMediaPemersatuBangsa https://t.co/paW8HAsoCX","sistem pelaksanaan pemilu 2024 akankah dilakukan secara proporsional terbuka atau tertutup yang sudah diberlakukan sejak era reformasi kita tunggu keputusan mahkamah konstitusi ikuti diskusi ini dalam segmen drc hari ini

",sistem laksana milu 2024 proporsional buka tutup laku era reformasi tunggu putus mahkamah konstitusi ikut diskusi segmen drc,negatif,neutral
37,2023-06-08 01:44:04+00:00,PrabumulihKpu,"#TemanPemilih, KPU Kota Prabumulih menerima kunjungan kerja dari Ketua dan Anggota Komisi I DPRD Prov. Sumatera Selatan, di ruang Rumah Pintar Pemilu.

#KPUMelayani
#pemiluserentak2024 https://t.co/xXEXNqFs7v"," kpu kota prabumulih menerima kunjungan kerja dari ketua dan anggota komisi i dprd prov sumatera selatan di ruang rumah pintar pemilu

",kpu kota prabumulih terima kunjung kerja ketua anggota komisi i dprd prov sumatera selatan ruang rumah pintar milu,neutral,neutral
38,2023-06-08 01:44:02+00:00,BandidBansos33,"Semakin terpojok ni Rezim Amburadul.
Pernyataan Presiden mo cawe² disikapi negatif oleh rakyat.
Rakyat anggap sikap cawe2 Presiden memalukan dan melanggar UU Pemilu dan Konstitusi.
Seharusnya Pemilu itu jurdil dan pesta demokrasi.
#MakzulkanPresidenCawe2 
#MakzulkanPresidenCawe2","semakin terpojok ni rezim amburadul
pernyataan presiden mo cawe disikapi negatif oleh rakyat
rakyat anggap sikap cawe2 presiden memalukan dan melanggar uu pemilu dan konstitusi
seharusnya pemilu itu jurdil dan pesta demokrasi
",pojok ni rezim amburadul nyata presiden mo cawe sikap negatif rakyat rakyat anggap sikap cawe 2 presiden malu langgar uu milu konstitusi milu jurdil pesta demokrasi,neutral,negative
39,2023-06-08 01:41:51+00:00,goentz1,"Menurut survei Indikator, Prabowo dan an Ganjar, merupakan kandidat calon presiden (capres) Pemilu 2024 dengan elektabilitas terbesar.

#PrabowoUntukIndonesia
Prabowo Subianto https://t.co/9UK4eLVRiO","menurut survei indikator prabowo dan an ganjar merupakan kandidat calon presiden capres pemilu 2024 dengan elektabilitas terbesar

prabowo subianto ",survei indikator prabowo an ganjar kandidat calon presiden capres milu 2024 elektabilitas besar prabowo subianto,negatif,neutral
40,2023-06-08 01:41:12+00:00,Bank_Aconk,"Pemilu 2024 Sesuai Jadwal

Mari berpartisipasi aktif dalam proses penyelenggaraan pemilu. Tahapan dan Jadwal Penyelenggaraan Pemilu 2024 telah secara resmi ditetapkan oleh pemerintah melalui Peraturan KPU Nomor 3 Tahun 2022.

Golden Buzzer BTS BTS BTS
Tasya Going Seventeen https://t.co/E9SLsbkMw3","pemilu 2024 sesuai jadwal

mari berpartisipasi aktif dalam proses penyelenggaraan pemilu tahapan dan jadwal penyelenggaraan pemilu 2024 telah secara resmi ditetapkan oleh pemerintah melalui peraturan kpu nomor 3 tahun 2022

golden buzzer bts bts bts
tasya going seventeen ",milu 2024 sesuai jadwal mari partisipasi aktif proses selenggara milu tahap jadwal selenggara milu 2024 resmi tetap perintah atur kpu nomor 3 2022 golden buzzer bts bts bts tasya going seventeen,positif,neutral
41,2023-06-08 01:39:27+00:00,mkusumawijaya,"Pak @ganjarpranowo maupun Pak @prabowo sebaiknya jangan mau didukung oleh presiden (penyelenggara pemilu) yang tidak netral. Sebab, kalau nanti menang tokh akan repot karena mudah diserang ""tidak jurdil"", malah bisa dituntut dibatalkan.",pak  maupun pak  sebaiknya jangan mau didukung oleh presiden penyelenggara pemilu yang tidak netral sebab kalau nanti menang tokh akan repot karena mudah diserang tidak jurdil malah bisa dituntut dibatalkan,dukung presiden selenggara milu netral menang tokh repot mudah serang jurdil tuntut batal,negatif,negative
42,2023-06-08 01:39:20+00:00,chelloquinox,"@PartBurungGalak Katanya gak percaya Survey2😂😂😂, katanya tiru Erdogan, kalah survey tapi menang pemilu🙄,,,,
Lah ini koq mw evaluasi?, Sekalian dievakuasi sj 😂😂😂😂"," katanya gak percaya survey2 katanya tiru erdogan kalah survey tapi menang pemilu
lah ini koq mw evaluasi sekalian dievakuasi sj ",gak percaya survey 2 tiru erdogan kalah survey menang milu koq mw evaluasi evakuasi sj,negatif,negative
43,2023-06-08 01:38:04+00:00,darmonomomon89,Babinsa Ds. Terban Serka Ambar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Terban Kec. Pabelan Kab. Semarang. https://t.co/gbNosBvgTb,babinsa ds terban serka ambar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds terban kec pabelan kab semarang ,babinsa ds terban serka ambar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds terban kec pabelan kab semarang,negatif,neutral
44,2023-06-08 01:37:41+00:00,OnlyFrens,"@RaharjaAdka @eddy_soeparno Itu bukan jualan pemilu, emang sudah menjadi kerjaan Aleg.",  itu bukan jualan pemilu emang sudah menjadi kerjaan aleg,jual milu emang kerja aleg,positif,negative
45,2023-06-08 01:36:24+00:00,Marco52991604,"@geloraco pemilu 1 putaran aja, hemat puluhan triliun, toh yg menang hanya Prabowo atau Ganjar, sayang kalau 3 pasangan, buang2 duit dan waktu", pemilu 1 putaran aja hemat puluhan triliun toh yg menang hanya prabowo atau ganjar sayang kalau 3 pasangan buang2 duit dan waktu,milu 1 putar aja hemat puluh triliun yg menang prabowo ganjar sayang 3 pasang buang 2 duit,negatif,negative
46,2023-06-08 01:35:14+00:00,polres_tanimbar,"Polres Tanimbar, Video Pesan/Imbauan Kamtibmas Kepala Desa Lauran Bpk. S .Kenjapluan Bersama Polres Tanimbar Guna Terciptanya Politik Sejuk Jelang Pemilu 2024.
@DivHumas_Polri
#polripresisi 
#sinergitaspolridanpemerintahdesa
#imbauankamtibmas 
#damaiindonesia 
#politiksejuk https://t.co/a6typlhIUM","polres tanimbar video pesanimbauan kamtibmas kepala desa lauran bpk s kenjapluan bersama polres tanimbar guna terciptanya politik sejuk jelang pemilu 2024

",polres tanimbar video pesanimbauan kamtibmas kepala desa laur bpk s kenjapluan polres tanimbar cipta politik sejuk jelang milu 2024,negatif,neutral
47,2023-06-08 01:35:11+00:00,Djambronk_Anyar,"@hayder_imron dr janjinya aja dah terpampang jelas ""jika memang pemilu 2019"".. menang kagak?... lu benci boleh aja tp kudu bijak dan dipakai otaknya.. https://t.co/dufXxePprm", dr janjinya aja dah terpampang jelas jika memang pemilu 2019 menang kagak lu benci boleh aja tp kudu bijak dan dipakai otaknya ,dr janji aja dah pampang milu 2019 menang kagak lu benci aja tp kudu bijak pakai otak,negatif,negative
48,2023-06-08 01:33:04+00:00,SulaimanS3nang,Babinsa Ds. Terban Serka Ambar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Terban Kec. Pabelan Kab. Semarang. https://t.co/T5X2ACdf87,babinsa ds terban serka ambar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds terban kec pabelan kab semarang ,babinsa ds terban serka ambar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds terban kec pabelan kab semarang,negatif,neutral
49,2023-06-08 01:32:19+00:00,Romdani82204111,Babinsa Ds. Terban Serka Ambar Menghadiri kegiatan Rapat Pleno Terbuka Rekapitulasi Daftar Pemilih Sementara Hasil Pemutakhiran ( DPSHP ) Akhir Pemilu tahun 2024 Ds. Terban Kec. Pabelan Kab. Semarang. https://t.co/dWZ6o28UBj,babinsa ds terban serka ambar menghadiri kegiatan rapat pleno terbuka rekapitulasi daftar pemilih sementara hasil pemutakhiran  dpshp  akhir pemilu tahun 2024 ds terban kec pabelan kab semarang ,babinsa ds terban serka ambar hadir giat rapat pleno buka rekapitulasi daftar pilih hasil mutakhir dpshp milu 2024 ds terban kec pabelan kab semarang,negatif,neutral
50,2023-06-08 01:31:06+00:00,TeddyAdmadja,"@katrinrienks @YRadianto ET sementara urus PSSI saja dulu samoe mendunia, pemilu tahun depan baru nyapres, klo wapres sekarang sayang sekali marwah citra yg sdh dibangun serta prestasinya...",  et sementara urus pssi saja dulu samoe mendunia pemilu tahun depan baru nyapres klo wapres sekarang sayang sekali marwah citra yg sdh dibangun serta prestasinya,et urus pssi samoe dunia milu nyapres klo wapres sayang marwah citra yg sdh bangun prestasi,negatif,positive
51,2023-06-08 01:31:03+00:00,IDNTimes,Mantan Wapres Mike Pence Umumkan Nyapres di Pemilu AS 2024 https://t.co/wd4Fb0JlAn,mantan wapres mike pence umumkan nyapres di pemilu as 2024 ,mantan wapres mike pence umum nyapres milu as 2024,negatif,neutral
52,2023-06-08 01:31:00+00:00,KarangnongkoP,"#temanpemilih
PPS Karangnongko melaksanakan sosialisasi terkait pemilu 2024 yang menghadirkan para anggota Karang Taruna dan pemuda desa Karangnongko sebagai generasi milenial yang diharapkan dapat menyebar luaskan pengetahuan tentang pemilu 2024 pada masyarakat. 1 Juni 2023. https://t.co/VXlRpJr0JM",pps karangnongko melaksanakan sosialisasi terkait pemilu 2024 yang menghadirkan para anggota karang taruna dan pemuda desa karangnongko sebagai generasi milenial yang diharapkan dapat menyebar luaskan pengetahuan tentang pemilu 2024 pada masyarakat 1 juni 2023 ,pps karangnongko laksana sosialisasi kait milu 2024 hadir anggota karang taruna pemuda desa karangnongko generasi milenial harap sebar luas tahu milu 2024 masyarakat 1 juni 2023,negatif,neutral
